,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime,week,month,year,month and week,quarter,max loss,max gain
138,9.31,9.97,9.17,71564,9.74,17011001,9.54693,2018-08-27 04:00:00+00:00,1535371200.0,4,8,2018,8-4,3,-18.47475832438239,0.9667024704618674
139,8.88,9.26,8.25,57986,9.24,14697253,8.842933,2018-09-03 04:00:00+00:00,1535976000.0,1,9,2018,9-1,3,-5.1801801801801695,14.301801801801794
140,8.86,9.52,8.8,83075,9.1,21847799,9.084365,2018-09-10 04:00:00+00:00,1536580800.0,2,9,2018,9-2,3,-9.367945823927766,6.997742663656877
141,9.35,9.42,8.69,66497,8.9,19516658,9.115142,2018-09-17 04:00:00+00:00,1537185600.0,3,9,2018,9-3,3,-2.352941176470595,15.614973262032095
142,10.03,10.15,9.2,70681,9.5,17018939,9.662181,2018-09-24 04:00:00+00:00,1537790400.0,4,9,2018,9-4,3,-1.2961116650049929,14.418743768693929
143,10.09,10.6462,10.02,77473,10.27,18607455,10.302072,2018-10-01 04:00:00+00:00,1538395200.0,1,10,2018,10-1,4,-20.229930624380575,0.49554013875124586
144,8.76,10.07,8.605,79452,9.95,19411493,9.331673,2018-10-08 04:00:00+00:00,1539000000.0,2,10,2018,10-2,4,-19.121004566210054,2.796803652968028
145,8.5,8.85,8.395,71151,8.77,17072865,8.581279,2018-10-15 04:00:00+00:00,1539604800.0,3,10,2018,10-3,4,-7.2352941176470615,3.294117647058837
146,8.5,8.675,8.235,92996,8.55,23411679,8.481342,2018-10-22 04:00:00+00:00,1540209600.0,4,10,2018,10-4,4,-7.2352941176470615,8.647058823529425
147,8.75,8.97,8.06,122503,8.55,29321241,8.569777,2018-10-29 04:00:00+00:00,1540814400.0,5,10,2018,10-5,4,-4.4571428571428635,13.942857142857129
148,8.94,9.28,8.58,75543,8.86,17882627,9.036742,2018-11-05 05:00:00+00:00,1541422800.0,1,11,2018,11-1,4,-14.429530201342272,5.4809843400447456
149,8.11,9.07,7.99,94459,9.03,24783432,8.372676,2018-11-12 05:00:00+00:00,1542027600.0,2,11,2018,11-2,4,-24.167694204685574,4.74722564734895
150,7.12,8.375,7.11,72329,7.98,20981712,7.704617,2018-11-19 05:00:00+00:00,1542632400.0,3,11,2018,11-3,4,-20.856741573033712,5.337078651685392
151,7.38,7.49,6.89,102579,7.14,27806283,7.123518,2018-11-26 05:00:00+00:00,1543237200.0,4,11,2018,11-4,4,1.1517615176151756,20.79945799457996
152,7.64,8.425,7.575,108381,8.11,24265840,8.031761,2018-12-03 05:00:00+00:00,1543842000.0,1,12,2018,12-1,4,-14.52879581151833,8.049738219895278
153,7.67,8.19,7.315,93544,7.58,18536624,7.744906,2018-12-10 05:00:00+00:00,1544446800.0,2,12,2018,12-2,4,-20.925684485006514,6.323337679269875
154,6.63,7.8,6.585,92847,7.69,22991280,7.050983,2018-12-17 05:00:00+00:00,1545051600.0,3,12,2018,12-3,4,-24.886877828054292,7.315233785822025
155,6.87,7.07,6.15,56995,6.55,16106632,6.733233,2018-12-24 05:00:00+00:00,1545656400.0,4,12,2018,12-4,4,-4.657933042212522,22.78020378457059
156,7.69,7.715,6.75,57943,6.97,13033831,7.278096,2018-12-31 05:00:00+00:00,1546261200.0,5,12,2018,12-5,4,-0.7152145643693071,19.245773732119638
157,8.1,8.23,7.66,70366,7.75,18089650,7.959248,2019-01-07 05:00:00+00:00,1546866000.0,1,1,2019,1-1,1,-5.987654320987659,7.407407407407403
158,8.14,8.26,7.745,65912,7.96,16248944,8.016268,2019-01-14 05:00:00+00:00,1547470800.0,2,1,2019,1-2,1,-9.459459459459453,2.0270270270270276
159,7.79,7.91,7.49,68027,7.91,17869681,7.668599,2019-01-21 05:00:00+00:00,1548075600.0,3,1,2019,1-3,1,-4.0436456996148955,8.600770218228497
160,7.7,8.16,7.595,87113,7.67,23785058,7.848351,2019-01-28 05:00:00+00:00,1548680400.0,4,1,2019,1-4,1,-10.000000000000005,4.090909090909096
161,7.49,7.91,7.39,79893,7.65,21974377,7.641993,2019-02-04 05:00:00+00:00,1549285200.0,1,2,2019,2-1,1,-9.078771695594122,17.48998664886515
162,8.69,8.7,7.23,115156,7.38,32756498,8.165397,2019-02-11 05:00:00+00:00,1549890000.0,2,2,2019,2-2,1,-1.03567318757192,19.217491369390103
163,8.89,8.9,8.61,58067,8.66,17181987,8.781676,2019-02-18 05:00:00+00:00,1550494800.0,3,2,2019,2-3,1,-1.2373453318335343,7.986501687289098
164,9.14,9.32,8.79,67050,8.88,17947647,9.091783,2019-02-25 05:00:00+00:00,1551099600.0,4,2,2019,2-4,1,-14.934354485776808,3.8293216630197087
165,8.21,9.14,7.955,99430,9.06,28467918,8.470698,2019-03-04 05:00:00+00:00,1551704400.0,1,3,2019,3-1,1,-10.475030450669928,11.510353227771013
166,8.77,8.9,8.28,75550,8.28,22514462,8.713226,2019-03-11 04:00:00+00:00,1552305600.0,2,3,2019,3-2,1,-1.881413911060444,11.288483466362603
167,8.75,9.27,8.735,62149,8.79,17299298,8.981148,2019-03-18 04:00:00+00:00,1552910400.0,3,3,2019,3-3,1,-9.485714285714286,0.8571428571428693
168,8.68,8.81,8.44,69031,8.7,20028139,8.638012,2019-03-25 04:00:00+00:00,1553515200.0,4,3,2019,3-4,1,0.0,10.944700460829505
169,9.39,9.39,8.81,81727,8.94,24636913,9.073251,2019-04-01 04:00:00+00:00,1554120000.0,1,4,2019,4-1,2,0.10649627263045566,14.58998935037273
170,9.9,10.18,9.4,91222,9.45,27434924,9.766555,2019-04-08 04:00:00+00:00,1554724800.0,2,4,2019,4-2,2,-4.242424242424241,7.979797979797971
171,10.09,10.19,9.76,58002,9.92,17702760,9.976992,2019-04-15 04:00:00+00:00,1555329600.0,3,4,2019,4-3,2,-3.6669970267591596,8.325074331020812
172,10.01,10.6,9.82,148539,10.23,46177422,10.237621,2019-04-22 04:00:00+00:00,1555934400.0,4,4,2019,4-4,2,-16.78321678321678,2.697302697302693
173,9.02,10.09,8.92,98839,9.98,29535226,9.492078,2019-04-29 04:00:00+00:00,1556539200.0,5,4,2019,4-5,2,-15.133037694013307,3.0776053215077566
174,9.05,9.1976,8.725,84801,8.85,22089013,8.956196,2019-05-06 04:00:00+00:00,1557144000.0,1,5,2019,5-1,2,-6.437569060773472,4.03314917127072
175,8.64,9.09,8.615,78743,8.94,22026994,8.844281,2019-05-13 04:00:00+00:00,1557748800.0,2,5,2019,5-2,2,-11.94560185185185,1.7939814814814738
176,8.25,8.77,8.0579,67673,8.64,19529216,8.414795,2019-05-20 04:00:00+00:00,1558353600.0,3,5,2019,5-3,2,-8.848484848484855,5.05575757575757
177,8.19,8.475,8.04,61130,8.36,16854148,8.262747,2019-05-27 04:00:00+00:00,1558958400.0,4,5,2019,5-4,2,-9.829059829059826,5.372405372405388
178,8.22,8.48,7.67,99470,8.31,25743389,7.99766,2019-06-03 04:00:00+00:00,1559563200.0,1,6,2019,6-1,2,-4.501216545012177,10.097323600973237
179,8.47,8.5,8.11,68316,8.28,16415844,8.357234,2019-06-10 04:00:00+00:00,1560168000.0,2,6,2019,6-2,2,-1.2987012987012918,11.216056670602137
180,8.81,9.06,8.39,86345,8.39,20993652,8.833144,2019-06-17 04:00:00+00:00,1560772800.0,3,6,2019,6-3,2,-4.540295119182751,8.740068104426783
181,8.82,9.16,8.66,64974,8.83,15916707,8.86137,2019-06-24 04:00:00+00:00,1561377600.0,4,6,2019,6-4,2,-5.725623582766449,5.442176870748304
182,8.95,9.14,8.655,39696,9.0,9005765,8.859226,2019-07-01 04:00:00+00:00,1561982400.0,1,7,2019,7-1,3,-3.3519553072625783,10.223463687150849
183,9.57,9.57,8.84,69305,8.92,16395665,9.259937,2019-07-08 04:00:00+00:00,1562587200.0,2,7,2019,7-2,3,-5.0156739811912265,8.254963427377229
184,9.51,9.63,9.09,90491,9.59,23066615,9.411595,2019-07-15 04:00:00+00:00,1563192000.0,3,7,2019,7-3,3,-6.309148264984242,7.045215562565719
185,9.21,9.76,9.03,88619,9.52,20963754,9.351278,2019-07-22 04:00:00+00:00,1563796800.0,4,7,2019,7-4,3,-11.292073832790434,4.668838219326835
186,8.83,9.46,8.72,74517,9.24,17208855,9.079424,2019-07-29 04:00:00+00:00,1564401600.0,5,7,2019,7-5,3,-15.118912797282002,-0.6795016987542525
187,8.54,8.66,8.125,65998,8.6,14060862,8.419557,2019-08-05 04:00:00+00:00,1565006400.0,1,8,2019,8-1,3,-7.025761124121777,8.606557377049175
188,8.17,8.86,8.06,73621,8.5,16073254,8.431181,2019-08-12 04:00:00+00:00,1565611200.0,2,8,2019,8-2,3,-8.873929008567927,7.955936352509184
189,8.3,8.71,8.135,74008,8.35,16975959,8.406772,2019-08-19 04:00:00+00:00,1566216000.0,3,8,2019,8-3,3,-5.301204819277124,10.240963855421683
190,8.73,8.985,8.27,62540,8.42,14824249,8.547352,2019-08-26 04:00:00+00:00,1566820800.0,4,8,2019,8-4,3,-6.586483390607094,10.194730813287519
191,9.11,9.16,8.41,56770,8.51,12717857,8.875443,2019-09-02 04:00:00+00:00,1567425600.0,1,9,2019,9-1,3,-1.0976948408342442,13.391877058177833
192,9.35,9.63,9.06,93438,9.24,21113022,9.384043,2019-09-09 04:00:00+00:00,1568030400.0,2,9,2019,9-2,3,2.4064171122994615,18.823529411764707
193,9.96,10.82,9.855,137120,10.06,36083755,10.213802,2019-09-16 04:00:00+00:00,1568635200.0,3,9,2019,9-3,3,-12.751004016064252,1.405622489959827
194,9.61,9.995,9.55,64330,9.91,15305019,9.722247,2019-09-23 04:00:00+00:00,1569240000.0,4,9,2019,9-4,3,-15.764828303850145,1.3527575442247557
195,8.53,9.68,8.48,86874,9.61,19827990,8.89501,2019-09-30 04:00:00+00:00,1569844800.0,5,9,2019,9-5,3,-19.636576787807726,3.341148886283706
196,8.58,8.765,8.005,97799,8.63,24347480,8.32795,2019-10-07 04:00:00+00:00,1570449600.0,1,10,2019,10-1,4,-4.60372960372962,8.682983682983673
197,8.59,8.75,8.37,68094,8.43,15203446,8.588794,2019-10-14 04:00:00+00:00,1571054400.0,2,10,2019,10-2,4,-3.0849825378346982,7.683352735739233
198,8.77,9.03,8.485,71250,8.59,17781693,8.799312,2019-10-21 04:00:00+00:00,1571659200.0,3,10,2019,10-3,4,-8.437856328392249,5.5302166476625
199,8.72,8.97,8.29,89366,8.84,22135935,8.647326,2019-10-28 04:00:00+00:00,1572264000.0,4,10,2019,10-4,4,-2.1788990825688215,12.041284403669732
200,9.17,9.34,8.78,75317,8.84,17029518,9.034688,2019-11-04 05:00:00+00:00,1572872400.0,1,11,2019,11-1,4,-3.489640130861508,7.851690294438393
201,9.27,9.5,9.02,51893,9.02,10629590,9.237533,2019-11-11 05:00:00+00:00,1573477200.0,2,11,2019,11-2,4,-7.766990291262143,2.3732470334412152
202,8.97,9.24,8.78,52530,9.24,12410859,8.987782,2019-11-18 05:00:00+00:00,1574082000.0,3,11,2019,11-3,4,-4.347826086956528,4.347826086956528
203,8.89,9.17,8.85,39630,8.98,9699729,9.056338,2019-11-25 05:00:00+00:00,1574686800.0,4,11,2019,11-4,4,-7.311586051743535,5.061867266591688
204,9.29,9.3,8.52,85569,8.91,20238967,8.853044,2019-12-02 05:00:00+00:00,1575291600.0,1,12,2019,12-1,4,-1.506996770721212,14.262648008611423
205,9.67,9.845,9.16,62144,9.18,13258231,9.460993,2019-12-09 05:00:00+00:00,1575896400.0,2,12,2019,12-2,4,-1.7063081695967004,8.47983453981386
206,9.86,9.98,9.68,52384,9.79,16503236,9.841319,2019-12-16 05:00:00+00:00,1576501200.0,3,12,2019,12-3,4,-1.1156186612576189,5.679513184584184
207,10.06,10.24,9.87,25619,9.87,8334659,10.073204,2019-12-23 05:00:00+00:00,1577106000.0,4,12,2019,12-4,4,-2.7833001988071504,6.461232604373761
208,10.19,10.52,9.96,43235,10.14,10880812,10.17346,2019-12-30 05:00:00+00:00,1577710800.0,5,12,2019,12-5,4,-6.722276741903816,5.201177625122663
209,9.88,10.49,9.835,61945,10.28,15852497,10.103637,2020-01-06 05:00:00+00:00,1578315600.0,1,1,2020,1-1,1,-12.449392712550612,-0.15182186234818387
210,9.26,9.82,9.26,69577,9.81,20153698,9.522725,2020-01-13 05:00:00+00:00,1578920400.0,2,1,2020,1-2,1,-12.095032397408218,0.7559395248380161
211,8.75,9.33,8.7,52910,9.23,13963345,9.019318,2020-01-20 05:00:00+00:00,1579525200.0,3,1,2020,1-3,1,-9.942857142857134,4.22857142857144
212,8.71,9.07,8.46,91048,8.48,25380574,8.798988,2020-01-27 05:00:00+00:00,1580130000.0,4,1,2020,1-4,1,-5.453501722158434,9.988518943742815
213,8.93,9.33,8.595,80725,8.72,21166496,8.933999,2020-02-03 05:00:00+00:00,1580734800.0,1,2,2020,2-1,1,-9.126539753639412,8.902575587905934
214,8.91,9.39,8.515,103930,8.85,26611665,8.972455,2020-02-10 05:00:00+00:00,1581339600.0,2,2,2020,2-2,1,-7.407407407407408,8.417508417508419
215,9.04,9.265,8.73,56999,8.82,15043329,9.057371,2020-02-17 05:00:00+00:00,1581944400.0,3,2,2020,2-3,1,-25.16592920353983,-0.7743362831858439
216,7.37,8.66,6.99,133308,8.66,32437869,7.660508,2020-02-24 05:00:00+00:00,1582549200.0,4,2,2020,2-4,1,-38.53459972862957,7.734056987788322
217,5.89,7.56,5.82,157086,7.5,37225937,6.783289,2020-03-02 05:00:00+00:00,1583154000.0,1,3,2020,3-1,1,-86.24787775891342,-30.89983022071308
218,3.0,4.0,2.48,262307,3.97,103067595,2.943801,2020-03-09 04:00:00+00:00,1583755200.0,2,3,2020,3-2,1,-86.33333333333333,4.9999999999999964
219,1.66,2.63,1.41,195056,2.62,58871367,1.860523,2020-03-16 04:00:00+00:00,1584360000.0,3,3,2020,3-3,1,-64.4578313253012,47.59036144578315
220,1.69,2.2,1.56,148360,1.71,50955960,1.854613,2020-03-23 04:00:00+00:00,1584964800.0,4,3,2020,3-4,1,-37.278106508875744,66.86390532544378
221,2.43,2.69,1.57,190872,1.69,80501755,2.095869,2020-03-30 04:00:00+00:00,1585569600.0,5,3,2020,3-5,1,-11.522633744855957,64.60905349794238
222,2.76,3.14,2.41,200079,2.5,69098868,2.811499,2020-04-06 04:00:00+00:00,1586174400.0,1,4,2020,4-1,2,-27.173913043478265,19.56521739130435
223,2.73,2.95,2.39,135996,2.92,43415814,2.602927,2020-04-13 04:00:00+00:00,1586779200.0,2,4,2020,4-2,2,-17.216117216117226,36.63003663003663
224,3.05,3.39,2.48,145983,2.49,57082290,2.849005,2020-04-20 04:00:00+00:00,1587384000.0,3,4,2020,4-3,2,-20.00000000000001,41.967213114754095
225,3.34,3.76,2.78,138545,2.94,47901529,3.333587,2020-04-27 04:00:00+00:00,1587988800.0,4,4,2020,4-4,2,-17.365269461077833,34.880239520958085
226,3.86,3.945,3.18,119440,3.23,51534162,3.645077,2020-05-04 04:00:00+00:00,1588593600.0,1,5,2020,5-1,2,-19.818652849740925,18.393782383419687
227,3.71,3.89,3.18,81333,3.82,36462182,3.641653,2020-05-11 04:00:00+00:00,1589198400.0,2,5,2020,5-2,2,0.2695417789757355,34.77088948787061
228,4.25,4.47,3.9,95515,3.91,37070782,4.207106,2020-05-18 04:00:00+00:00,1589803200.0,3,5,2020,5-3,2,-6.352941176470578,14.588235294117638
229,4.33,4.52,4.2,59162,4.41,23392961,4.366248,2020-05-25 04:00:00+00:00,1590408000.0,4,5,2020,5-4,2,-7.159353348729783,25.750577367205548
230,5.24,5.315,4.21,88426,4.3,37828633,4.877018,2020-06-01 04:00:00+00:00,1591012800.0,1,6,2020,6-1,2,-16.41221374045802,30.916030534351147
231,4.58,5.83,4.455,137682,5.57,50559285,5.168471,2020-06-08 04:00:00+00:00,1591617600.0,2,6,2020,6-2,2,-34.49781659388647,13.864628820960695
232,4.53,5.09,4.25,93200,4.25,42222628,4.628175,2020-06-15 04:00:00+00:00,1592222400.0,3,6,2020,6-3,2,-16.114790286975705,12.362030905077253
233,4.45,4.81,4.36,76196,4.55,30900771,4.570937,2020-06-22 04:00:00+00:00,1592827200.0,4,6,2020,6-4,2,-9.213483146067398,10.561797752808982
234,4.74,4.83,4.4,59663,4.47,21570995,4.650361,2020-06-29 04:00:00+00:00,1593432000.0,5,6,2020,6-5,2,-12.44725738396624,10.337552742616019
235,4.42,4.89,4.24,60321,4.86,26585341,4.475808,2020-07-06 04:00:00+00:00,1594036800.0,1,7,2020,7-1,3,-17.0814479638009,11.538461538461533
236,4.46,4.75,4.135,72056,4.42,29332408,4.474657,2020-07-13 04:00:00+00:00,1594641600.0,2,7,2020,7-2,3,-9.417040358744392,21.41255605381166
237,5.01,5.09,4.33,86366,4.45,33689835,4.854928,2020-07-20 04:00:00+00:00,1595246400.0,3,7,2020,7-3,3,-13.173652694610782,14.93612774451097
238,4.46,5.0783,4.43,79089,5.03,27771635,4.727782,2020-07-27 04:00:00+00:00,1595851200.0,4,7,2020,7-4,3,-14.36322869955155,14.573991031390143
239,4.87,5.08,4.4377,82842,4.5,26060129,4.824569,2020-08-03 04:00:00+00:00,1596456000.0,1,8,2020,8-1,3,-3.696098562628331,18.5277207392197
240,5.15,5.34,4.9,69856,4.94,22744743,5.140171,2020-08-10 04:00:00+00:00,1597060800.0,2,8,2020,8-2,3,-14.077669902912612,7.18446601941746
241,4.68,5.27,4.615,53595,5.15,17619043,4.924342,2020-08-17 04:00:00+00:00,1597665600.0,3,8,2020,8-3,3,-12.606837606837603,9.081196581196577
242,4.91,5.04,4.68,41740,4.76,15412672,4.844082,2020-08-24 04:00:00+00:00,1598270400.0,4,8,2020,8-4,3,-8.959266802443986,4.480651731160909
243,4.65,4.9,4.6001,52240,4.89,18277225,4.719676,2020-08-31 04:00:00+00:00,1598875200.0,5,8,2020,8-5,3,-19.13333333333334,-1.722580645161306
244,4.11,4.52,4.0103,58755,4.5,22022149,4.209688,2020-09-07 04:00:00+00:00,1599480000.0,1,9,2020,9-1,3,-13.868613138686115,10.698296836982973
245,4.23,4.45,3.95,77662,4.13,23108089,4.200598,2020-09-14 04:00:00+00:00,1600084800.0,2,9,2020,9-2,3,-17.021276595744684,4.255319148936163
246,3.89,4.13,3.73,54979,4.12,24810877,3.936618,2020-09-21 04:00:00+00:00,1600689600.0,3,9,2020,9-3,3,-17.994858611825183,10.796915167095126
247,3.63,4.15,3.43,110788,3.99,41258611,3.850445,2020-09-28 04:00:00+00:00,1601294400.0,4,9,2020,9-4,3,-15.15151515151516,21.487603305785118
248,4.05,4.21,3.6,70859,3.72,28930651,3.880144,2020-10-05 04:00:00+00:00,1601899200.0,1,10,2020,10-1,4,-14.32098765432099,12.345679012345668
249,3.65,4.1,3.63,47385,4.04,18354338,3.867609,2020-10-12 04:00:00+00:00,1602504000.0,2,10,2020,10-2,4,-15.342465753424648,5.205479452054793
250,3.71,3.82,3.54,52027,3.69,23023224,3.691239,2020-10-19 04:00:00+00:00,1603108800.0,3,10,2020,10-3,4,-18.059299191374663,4.582210242587599
251,3.28,3.71,3.15,190266,3.36,110238278,3.401753,2020-10-26 04:00:00+00:00,1603713600.0,4,10,2020,10-4,4,-14.024390243902438,18.292682926829272
252,3.58,3.75,3.25,92367,3.34,46477296,3.555176,2020-11-02 05:00:00+00:00,1604322000.0,1,11,2020,11-1,4,7.262569832402228,34.07821229050278
253,4.28,4.47,4.01,94027,4.02,50518401,4.28393,2020-11-09 05:00:00+00:00,1604926800.0,2,11,2020,11-2,4,-1.1682242990654164,21.144859813084118
254,4.71,4.915,4.42,69522,4.55,32129708,4.635008,2020-11-16 05:00:00+00:00,1605531600.0,3,11,2020,11-3,4,-2.866242038216556,24.59447983014863
255,5.35,5.5784,4.78,53375,4.82,25566860,5.321472,2020-11-23 05:00:00+00:00,1606136400.0,4,11,2020,11-4,4,-11.932710280373831,16.822429906542048
256,5.65,5.68,4.94,79279,5.31,39156091,5.296906,2020-11-30 05:00:00+00:00,1606741200.0,5,11,2020,11-5,4,-3.8938053097345082,23.53982300884954
257,6.21,6.27,5.46,101810,5.61,45451510,5.925585,2020-12-07 05:00:00+00:00,1607346000.0,1,12,2020,12-1,4,-7.2463768115941924,15.94202898550725
258,5.93,6.45,5.82,87206,6.36,42410036,6.028337,2020-12-14 05:00:00+00:00,1607950800.0,2,12,2020,12-2,4,-16.526138279932553,1.6863406408094375
259,5.9,5.92,5.47,52740,5.55,22257596,5.744877,2020-12-21 05:00:00+00:00,1608555600.0,3,12,2020,12-3,4,-3.220338983050839,13.559322033898303
260,6.04,6.27,5.73,58048,5.93,29821116,6.061705,2020-12-28 05:00:00+00:00,1609160400.0,4,12,2020,12-4,4,-2.6490066225165436,19.867549668874158
261,6.53,6.93,6.11,121128,6.14,78745181,6.581908,2021-01-04 05:00:00+00:00,1609765200.0,1,1,2021,1-1,1,-12.376722817764154,7.58039816232772
262,6.13,6.605,6.1218,108056,6.33,59484327,6.320994,2021-01-11 05:00:00+00:00,1610370000.0,2,1,2021,1-2,1,-12.969004893964126,3.6411092985318008
263,5.88,6.345,5.81,72585,6.15,38163923,6.085431,2021-01-18 05:00:00+00:00,1610974800.0,3,1,2021,1-3,1,-13.350340136054426,4.591836734693885
264,5.91,6.08,5.56,108081,5.81,55156786,5.841348,2021-01-25 05:00:00+00:00,1611579600.0,4,1,2021,1-4,1,-2.3688663282571856,16.751269035533
265,6.35,6.55,5.94,98385,6.03,55032732,6.29839,2021-02-01 05:00:00+00:00,1612184400.0,1,2,2021,2-1,1,-7.559055118110229,14.960629921259832
266,6.75,6.89,6.07,110893,6.46,57043750,6.447216,2021-02-08 05:00:00+00:00,1612789200.0,2,2,2021,2-2,1,-2.962962962962952,13.99999999999999
267,6.9,7.015,6.69,63256,6.94,36335963,6.889021,2021-02-15 05:00:00+00:00,1613394000.0,3,2,2021,2-3,1,-1.5217391304347758,14.927536231884048
268,7.41,7.72,6.91,129663,6.92,61500453,7.373118,2021-02-22 05:00:00+00:00,1613998800.0,4,2,2021,2-4,1,-4.993252361673416,19.29689608636977
269,8.21,8.3399,7.35,119894,7.57,62752611,7.744879,2021-03-01 05:00:00+00:00,1614603600.0,1,3,2021,3-1,1,-4.870889159561506,14.85992691839221
270,8.48,8.57,7.94,112874,8.35,51770971,8.244222,2021-03-08 05:00:00+00:00,1615208400.0,2,3,2021,3-2,1,-9.905660377358489,7.075471698113192
271,8.0,8.54,7.73,81037,8.47,43302136,8.175641,2021-03-15 04:00:00+00:00,1615809600.0,3,3,2021,3-3,1,-15.12499999999999,4.374999999999996
272,7.8,8.08,7.33,97389,8.06,46780024,7.66919,2021-03-22 04:00:00+00:00,1616414400.0,4,3,2021,3-4,1,-7.820512820512825,6.987179487179486
273,7.87,7.875,7.47,61501,7.75,30892758,7.613362,2021-03-29 04:00:00+00:00,1617019200.0,5,3,2021,3-5,1,-4.7649301143583225,5.844980940279542
274,7.6,7.93,7.5,74249,7.85,31465253,7.69378,2021-04-05 04:00:00+00:00,1617624000.0,1,4,2021,4-1,2,-5.131578947368417,8.552631578947373
275,7.97,8.15,7.54,68373,7.69,26749855,7.892669,2021-04-12 04:00:00+00:00,1618228800.0,2,4,2021,4-2,2,-12.42158092848181,6.273525721455448
276,7.5,8.04,7.16,57009,8.04,25012732,7.454205,2021-04-19 04:00:00+00:00,1618833600.0,3,4,2021,4-3,2,-8.79999999999999,13.200000000000003
277,7.77,8.15,7.38,89609,7.5,42820549,7.690395,2021-04-26 04:00:00+00:00,1619438400.0,4,4,2021,4-4,2,-7.464607464607466,8.880308880308887
278,7.9,8.07,7.57,114561,7.86,53360961,7.839177,2021-05-03 04:00:00+00:00,1620043200.0,1,5,2021,5-1,2,-9.240506329113929,7.215189873417725
